T1 fixation
25.01594:152,82;
25.03291:153,81;
25.04958:149,78;
25.06625:146,74;
25.08303:146,74;
25.09953:139,67;
25.11629:140,67;
25.13279:148,64;
25.14967:148,64;
25.16675:136,63;
25.18266:136,67;
25.20024:132,68;
25.21621:123,71;
25.23297:122,71;
25.24959:123,74;
25.26629:122,74;
25.28302:120,74;
25.29971:120,74;
25.31607:125,76;
25.33296:127,75;
25.34974:127,75;
25.3663:125,78;
25.38316:123,78;
25.39952:129,80;
25.41628:133,77;
25.43288:137,77;
25.4495:137,77;
25.46632:142,81;
25.48323:142,82;
25.49951:134,82;
25.51632:135,75;
25.53297:133,74;
25.54963:131,73;
25.56656:130,70;
25.58281:130,71;
25.59978:130,71;
25.61728:126,69;
25.63267:116,72;
25.6502:116,72;
25.66646:120,68;
25.6833:120,68;
25.69957:116,70;
25.71641:110,71;
25.73296:108,70;
25.74965:108,70;
25.76606:119,65;
25.78303:119,65;
25.79971:112,72;
25.81644:109,71;
25.83281:103,73;
25.84956:100,73;
25.86637:101,76;
25.88287:96,74;
25.89957:96,74;
25.91649:90,73;
25.93287:87,80;
25.94947:85,80;
25.96639:83,81;
25.98355:82,79;
25.99961:82,80;
26.01652:81,78;
26.03286:112,75;
26.04999:112,75;
26.06766:113,74;
26.08286:102,72;
26.09959:107,79;
26.11628:106,81;
26.13352:105,81;
26.14964:108,81;
26.16623:112,80;
26.18321:113,79;
26.19973:113,79;
26.21594:112,76;
26.23252:112,76;
26.24966:112,77;
26.2679:111,77;
26.28342:114,78;
26.29951:116,80;
26.31634:115,80;
26.33283:117,80;
26.34979:117,80;
26.36575:102,85;
26.38284:118,88;
26.39964:117,84;
26.41632:125,77;
26.43316:117,74;
26.44962:115,74;
26.46639:111,73;
T23 fixation
28.11763:1433,38;
28.13333:1434,36;
28.15042:1434,36;
28.16651:1434,37;
28.18366:1430,37;
28.19961:1422,37;
28.21633:1420,36;
28.23303:1420,37;
28.24958:1421,39;
28.26644:1422,40;
28.28293:1423,41;
28.30093:1423,41;
28.3163:1419,36;
28.33287:1420,38;
28.34965:1420,38;
28.36635:1421,39;
28.38276:1422,39;
28.39965:1430,41;
28.41668:1430,41;
28.43285:1428,41;
28.44963:1428,41;
28.46594:1432,41;
28.48271:1426,42;
28.49983:1419,44;
28.51645:1422,45;
28.53333:1421,46;
28.54965:1432,54;
28.56646:1432,56;
28.58282:1433,54;
28.60027:1433,54;
28.61658:1434,55;
28.63286:1424,51;
28.6497:1425,52;
28.66638:1417,45;
28.683:1421,48;
28.69956:1422,49;
28.71636:1423,51;
28.7329:1421,54;
28.74965:1421,54;
28.76632:1420,56;
28.78248:1416,59;
28.79965:1415,58;
28.81616:1415,58;
28.83296:1411,55;
28.84978:1409,56;
28.86621:1409,56;
28.88294:1411,55;
28.89982:1411,55;
28.91624:1413,42;
28.93413:1428,45;
28.94964:1425,47;
28.96643:1423,47;
28.98279:1427,60;
28.99954:1431,65;
29.0163:1431,66;
29.03293:1431,69;
29.04964:1431,69;
29.06674:1434,73;
29.0828:1429,73;
29.09944:1426,73;
29.11636:1437,71;
29.13295:1449,64;
29.14957:1449,63;
29.16621:1449,67;
29.18301:1450,67;
29.19965:1450,67;
29.217:1449,63;
29.23271:1437,65;
29.24992:1437,65;
29.26628:1436,59;
29.28321:1434,61;
29.29973:1432,68;
29.31623:1434,73;
29.33289:1434,76;
29.34985:1434,76;
29.36603:1436,78;
29.38291:1433,72;
29.39977:1435,72;
29.41615:1436,66;
29.43298:1439,64;
29.44936:1442,70;
29.46645:1444,73;
29.48285:1445,75;
29.49981:1445,75;
29.51693:1440,72;
29.53452:1438,71;
29.5496:1437,67;
29.56633:1437,64;
29.58305:1437,64;
29.59957:1435,63;
29.61678:1434,57;
29.63286:1433,56;
29.64962:1433,56;
29.66651:1428,54;
29.68335:1423,52;
29.69968:1423,54;
29.71612:1421,54;
29.73314:1420,58;
29.74986:1419,67;
29.76617:1420,68;
29.78299:1423,62;
29.80018:1423,62;
29.81631:1422,57;
29.83307:1422,62;
29.84978:1423,58;
29.86636:1422,56;
29.88306:1423,54;
29.89961:1430,51;
29.91637:1430,51;
29.93297:1429,53;
29.94977:1429,53;
29.96634:1429,53;
29.98314:1429,50;
29.99953:1428,48;
30.01631:1427,55;
30.033:1424,53;
30.04954:1423,51;
30.06621:1425,49;
30.08288:1425,50;
30.0999:1425,50;
30.11633:1424,54;
30.13285:1432,58;
30.1499:1432,58;
30.16621:1421,41;
30.18307:1422,44;
30.19955:1422,44;
30.21616:1422,44;
30.23287:1423,47;
30.24998:1423,47;
30.26608:1422,47;
30.28262:1424,45;
30.29988:1421,37;
30.31692:1420,38;
30.33308:1419,40;
30.34966:1420,44;
30.36646:1419,44;
30.38301:1417,44;
30.40006:1417,44;
30.41601:1420,45;
